id,terminal,lat,long,dockcount
1,BT-01,47.618418,-122.350964,18
2,BT-03,47.615829,-122.348564,16
3,BT-04,47.616094,-122.341102,16
4,BT-05,47.61311,-122.344208,14
5,CBD-13,47.610185,-122.339641,18
6,CBD-03,47.610731,-122.332447,20
7,CBD-07,47.603509,-122.330409,18
8,SLU-16,47.613715,-122.331777,20
9,CBD-06,47.60595,-122.335768,20
10,CH-01,47.618633,-122.325249,16
11,CH-02,47.622063,-122.321251,20
12,CH-03,47.623367,-122.325279,16
13,CH-05,47.620712,-122.312805,16
14,CH-06,47.618549,-122.317017,15
15,CH-07,47.61533,-122.311752,18
16,CH-08,47.615486,-122.318245,26
17,CH-09,47.615517,-122.322083,16
18,CH-12,47.615456,-122.326729,18
19,CH-15,47.624142,-122.316811,16
20,DPD-01,47.624298,-122.339617,18
21,DPD-03,47.663509,-122.284119,24
22,EL-01,47.627643,-122.332576,16
23,EL-03,47.634831,-122.326634,18
24,EL-05,47.64909,-122.322983,17
25,FH-01,47.607281,-122.324783,15
26,FH-04,47.609239,-122.316651,20
27,ID-04,47.598488,-122.326412,16
28,PS-05,47.598994,-122.329684,18
29,PS-04,47.600757,-122.332946,18
30,SLU-01,47.619859,-122.330304,20
31,SLU-02,47.627735,-122.342232,18
32,SLU-04,47.623165,-122.338203,18
33,SLU-07,47.61832,-122.338913,18
34,SLU-15,47.613628,-122.337341,20
35,SLU-17,47.626041,-122.335831,16
36,SLU-18,47.618285,-122.342205,20
37,SLU-19,47.622277,-122.35523,16
38,UD-01,47.666145,-122.301491,18
39,UD-02,47.658288,-122.313334,18
40,UD-04,47.656395,-122.31562,16
41,UD-07,47.663143,-122.315086,16
43,UW-02,47.659756,-122.310402,14
44,UW-04,47.65559,-122.31189,16
45,UW-06,47.654613,-122.304863,14
46,UW-07,47.653713,-122.302162,14
47,UW-10,47.650725,-122.311188,14
48,WF-01,47.614315,-122.354093,24
49,WF-04,47.607702,-122.34165,18
50,CBD-05,47.604058,-122.3358,20
